Action_Cash,Action_AAPL,Action_V,Action_SNE,Action_ADBE,Action_BABA,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_AAPL_close_L1,State_AAPL_high_L1,State_AAPL_low_L1,State_AAPL_open_L1,State_V_close_L1,State_V_high_L1,State_V_low_L1,State_V_open_L1,State_SNE_close_L1,State_SNE_high_L1,State_SNE_low_L1,State_SNE_open_L1,State_ADBE_close_L1,State_ADBE_high_L1,State_ADBE_low_L1,State_ADBE_open_L1,State_BABA_close_L1,State_BABA_high_L1,State_BABA_low_L1,State_BABA_open_L1
0.16671728,0.16666055,0.16662128,0.16660981,0.16658454,0.1668065,1.0,1.0,1.0,1.0,1.02292343,1.04686775,1.01076566,1.04686775,1.01902552,1.02542923,1.00696056,1.02542923,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443
0.16671693,0.16666046,0.16662173,0.16660951,0.16658434,0.16680707,1.0,1.0,1.0,1.0,1.01902552,1.02542923,1.00696056,1.02542923,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926
0.16671702,0.16666044,0.1666218,0.1666095,0.16658406,0.1668072,1.0,1.0,1.0,1.0,0.99136891,1.02143852,0.98988399,1.02143852,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051
0.16671762,0.1666601,0.16662152,0.16660893,0.16658376,0.16680807,1.0,1.0,1.0,1.0,0.98366589,0.99842227,0.97633411,0.99842227,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445
0.16671877,0.16665953,0.16662095,0.16660874,0.16658336,0.16680863,1.0,1.0,1.0,1.0,1.00900232,1.01039443,0.98839907,1.01039443,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571
0.1667192,0.1666594,0.1666205,0.16660906,0.16658337,0.16680855,1.0,1.0,1.0,1.0,1.01670534,1.03071926,1.00482599,1.03071926,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791
0.16672029,0.16665891,0.16662076,0.16660845,0.16658239,0.16680919,1.0,1.0,1.0,1.0,1.04315545,1.0438051,1.01828306,1.0438051,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413
0.16672073,0.16665836,0.16662136,0.16660792,0.16658126,0.16681042,1.0,1.0,1.0,1.0,1.04853828,1.05568445,1.03508121,1.05568445,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169
0.16672173,0.16665824,0.16661988,0.16660798,0.16658114,0.1668111,1.0,1.0,1.0,1.0,1.04965197,1.06134571,1.04686775,1.06134571,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891
0.16672294,0.16665715,0.16661975,0.16660783,0.1665809,0.16681138,1.0,1.0,1.0,1.0,1.01290023,1.04389791,1.01187935,1.04389791,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608
0.1667241,0.16665712,0.16661921,0.16660771,0.16658069,0.16681117,1.0,1.0,1.0,1.0,1.07016241,1.0962413,1.07016241,1.0962413,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362
0.16672496,0.16665658,0.1666191,0.16660766,0.16658051,0.16681118,1.0,1.0,1.0,1.0,1.10348028,1.10617169,1.0724826,1.10617169,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227
0.16672505,0.16665678,0.16661902,0.1666076,0.16658054,0.166811,1.0,1.0,1.0,1.0,1.08733179,1.1136891,1.08445476,1.1136891,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367
0.16672543,0.16665637,0.16661903,0.1666075,0.16658041,0.16681126,1.0,1.0,1.0,1.0,1.10097448,1.10598608,1.07730858,1.10598608,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928
0.16672598,0.16665599,0.16661903,0.16660744,0.16658036,0.16681114,1.0,1.0,1.0,1.0,1.10116009,1.10524362,1.09150812,1.10524362,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418
0.16672675,0.16665572,0.16661915,0.16660714,0.16657981,0.16681145,1.0,1.0,1.0,1.0,1.10960557,1.11842227,1.09800464,1.11842227,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269
0.16672722,0.16665567,0.16661899,0.1666065,0.16657917,0.16681236,1.0,1.0,1.0,1.0,1.11313225,1.11582367,1.10672854,1.11582367,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035
0.16672793,0.16665575,0.16661853,0.16660573,0.16657887,0.16681321,1.0,1.0,1.0,1.0,1.1037587,1.11600928,1.09930394,1.11600928,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905
0.16672906,0.1666551,0.16661805,0.16660519,0.16657904,0.16681361,1.0,1.0,1.0,1.0,1.11109049,1.11220418,1.09911833,1.11220418,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529
0.16673139,0.16665402,0.16661745,0.16660455,0.16657881,0.16681379,1.0,1.0,1.0,1.0,1.13243619,1.13364269,1.11517401,1.13364269,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209
0.16673316,0.1666529,0.16661729,0.16660447,0.16657881,0.1668134,1.0,1.0,1.0,1.0,1.15897912,1.15935035,1.13689095,1.15935035,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401
0.1667342,0.16665268,0.16661677,0.16660452,0.16657862,0.1668132,1.0,1.0,1.0,1.0,1.17364269,1.18310905,1.16538283,1.18310905,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942
0.16673489,0.16665208,0.16661678,0.16660437,0.16657855,0.1668133,1.0,1.0,1.0,1.0,1.17939675,1.1812529,1.16612529,1.1812529,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615
0.166736,0.16665192,0.16661681,0.16660376,0.1665778,0.16681366,1.0,1.0,1.0,1.0,1.18635731,1.19610209,1.17791183,1.19610209,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875
0.16673648,0.16665165,0.16661666,0.1666033,0.16657771,0.1668142,1.0,1.0,1.0,1.0,1.19461717,1.19517401,1.18283063,1.19517401,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719
0.16673669,0.16665147,0.16661601,0.16660358,0.16657823,0.16681398,1.0,1.0,1.0,1.0,1.19211137,1.1974942,1.19099768,1.1974942,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571
0.16673729,0.16665098,0.16661613,0.16660365,0.1665786,0.16681331,1.0,1.0,1.0,1.0,1.20185615,1.20185615,1.18839907,1.20185615,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077
0.16673757,0.16665101,0.16661608,0.16660424,0.16657862,0.16681243,1.0,1.0,1.0,1.0,1.23433875,1.23433875,1.20334107,1.23433875,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654
0.16673678,0.16665162,0.16661587,0.1666047,0.16657867,0.16681238,1.0,1.0,1.0,1.0,1.22663573,1.23990719,1.21735499,1.23990719,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513
0.16673571,0.16665226,0.16661604,0.16660452,0.1665789,0.16681255,1.0,1.0,1.0,1.0,1.19526682,1.22134571,1.18932715,1.22134571,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176
0.16673611,0.16665164,0.16661629,0.16660449,0.16657889,0.16681257,1.0,1.0,1.0,1.0,1.21030162,1.21457077,1.1750348,1.21457077,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299
0.16673593,0.16665173,0.16661635,0.16660489,0.16657884,0.16681226,1.0,1.0,1.0,1.0,1.19220418,1.21178654,1.19016241,1.21178654,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559
0.16673563,0.16665198,0.16661665,0.16660473,0.16657884,0.1668122,1.0,1.0,1.0,1.0,1.19805104,1.20909513,1.19071926,1.20909513,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965
0.16673502,0.16665211,0.166617,0.16660455,0.16657867,0.16681263,1.0,1.0,1.0,1.0,1.20055684,1.20204176,1.1887703,1.20204176,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058
0.16673423,0.16665256,0.16661672,0.16660498,0.16657923,0.1668122,1.0,1.0,1.0,1.0,1.19294664,1.20241299,1.19090487,1.20241299,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606
0.16673352,0.16665266,0.1666167,0.16660577,0.16657978,0.16681162,1.0,1.0,1.0,1.0,1.17317865,1.19489559,1.16714617,1.19489559,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824
0.16673283,0.16665322,0.16661698,0.16660613,0.16657974,0.1668111,1.0,1.0,1.0,1.0,1.174942,1.20064965,1.17178654,1.20064965,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473
0.16673198,0.16665386,0.16661729,0.1666062,0.16657975,0.16681093,1.0,1.0,1.0,1.0,1.1799536,1.2025058,1.16064965,1.2025058,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051
0.1667311,0.16665411,0.1666175,0.16660613,0.16657962,0.16681153,1.0,1.0,1.0,1.0,1.15554524,1.18069606,1.14895592,1.18069606,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877
0.16673079,0.1666546,0.16661748,0.16660552,0.16657907,0.16681263,1.0,1.0,1.0,1.0,1.13447796,1.15795824,1.13327146,1.15795824,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413
0.16673155,0.16665404,0.16661751,0.16660488,0.16657895,0.16681308,1.0,1.0,1.0,1.0,1.1549884,1.15916473,1.12881671,1.15916473,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007
0.16673234,0.16665383,0.16661713,0.16660458,0.16657889,0.16681325,1.0,1.0,1.0,1.0,1.14700696,1.1638051,1.13763341,1.1638051,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596
0.16673319,0.16665289,0.16661702,0.16660449,0.16657901,0.16681331,1.0,1.0,1.0,1.0,1.15962877,1.15962877,1.14032483,1.15962877,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733
0.16673411,0.1666525,0.16661687,0.16660467,0.16657911,0.16681267,1.0,1.0,1.0,1.0,1.17902552,1.18162413,1.16612529,1.18162413,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292
0.16673438,0.16665243,0.1666168,0.16660497,0.16657892,0.16681251,1.0,1.0,1.0,1.0,1.19229698,1.1987007,1.17280742,1.1987007,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626
0.16673386,0.1666528,0.16661659,0.1666055,0.16657946,0.16681178,1.0,1.0,1.0,1.0,1.18329466,1.19953596,1.18236659,1.19953596,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376
0.1667335,0.16665266,0.16661723,0.16660571,0.16657963,0.16681132,1.0,1.0,1.0,1.0,1.16844548,1.19164733,1.16157773,1.19164733,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912
0.16673288,0.16665295,0.16661732,0.16660587,0.1665793,0.16681165,1.0,1.0,1.0,1.0,1.18060325,1.18654292,1.17419954,1.18654292,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858
0.16673228,0.16665357,0.16661732,0.16660593,0.16657925,0.1668117,1.0,1.0,1.0,1.0,1.17577726,1.18830626,1.17457077,1.18830626,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585
0.16673128,0.16665433,0.16661736,0.16660576,0.16657934,0.16681191,1.0,1.0,1.0,1.0,1.145058,1.17698376,1.145058,1.17698376,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111
0.16673128,0.16665383,0.1666175,0.16660567,0.1665796,0.16681215,1.0,1.0,1.0,1.0,1.15303944,1.15897912,1.13781903,1.15897912,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065
0.1667316,0.16665374,0.16661747,0.16660553,0.16657928,0.16681233,1.0,1.0,1.0,1.0,1.14385151,1.15730858,1.14069606,1.15730858,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002
0.16673231,0.1666534,0.1666176,0.16660537,0.16657898,0.16681235,1.0,1.0,1.0,1.0,1.17280742,1.17308585,1.15081206,1.17308585,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747
0.1667322,0.16665383,0.16661729,0.16660519,0.16657898,0.16681248,1.0,1.0,1.0,1.0,1.15480278,1.17392111,1.15415313,1.17392111,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872
0.16673209,0.1666535,0.16661726,0.16660514,0.16657926,0.16681275,1.0,1.0,1.0,1.0,1.15313225,1.1612065,1.1424594,1.1612065,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585
0.16673262,0.16665326,0.16661713,0.16660509,0.16657917,0.16681269,1.0,1.0,1.0,1.0,1.16306265,1.16529002,1.15257541,1.16529002,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638
0.1667335,0.16665268,0.1666173,0.16660523,0.16657913,0.1668122,1.0,1.0,1.0,1.0,1.18190255,1.18338747,1.15387471,1.18338747,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325
0.16673349,0.16665316,0.16661705,0.16660519,0.16657877,0.16681242,1.0,1.0,1.0,1.0,1.16946636,1.18904872,1.16918794,1.18904872,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506
0.16673285,0.16665329,0.16661708,0.16660501,0.16657914,0.16681267,1.0,1.0,1.0,1.0,1.16566125,1.17308585,1.15981439,1.17308585,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571
0.16673331,0.16665293,0.16661702,0.1666049,0.1665791,0.16681269,1.0,1.0,1.0,1.0,1.17457077,1.17475638,1.15693735,1.17475638,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079
0.1667338,0.1666525,0.16661702,0.16660511,0.16657907,0.16681243,1.0,1.0,1.0,1.0,1.17958237,1.18060325,1.1625058,1.18060325,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237
0.16673373,0.16665274,0.16661695,0.16660559,0.16657925,0.16681181,1.0,1.0,1.0,1.0,1.17726218,1.19322506,1.1750348,1.19322506,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285
0.1667337,0.16665275,0.16661732,0.1666051,0.16657872,0.16681236,1.0,1.0,1.0,1.0,1.17215777,1.18134571,1.16853828,1.18134571,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872
0.16673341,0.1666529,0.16661736,0.16660488,0.1665787,0.1668127,1.0,1.0,1.0,1.0,1.17661253,1.17986079,1.16946636,1.17986079,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118
0.16674101,0.16665284,0.16662967,0.16659923,0.16657473,0.16680251,1.0,1.0,1.0,1.0,1.17095128,1.17958237,1.17039443,1.17958237,1.15777262,1.17067285,1.15508121,1.17067285,1.18422274,1.18904872,1.16167053,1.18904872,1.17781903,1.18979118,1.17559165,1.18979118,1.1936891,1.19600928,1.17234339,1.19600928
