Action_Cash,Action_BMW.DE,Action_MBG.DE,Action_FORD,Action_GM,Action_012330.KS,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_BMW.DE_close_L1,State_BMW.DE_high_L1,State_BMW.DE_low_L1,State_BMW.DE_open_L1,State_MBG.DE_close_L1,State_MBG.DE_high_L1,State_MBG.DE_low_L1,State_MBG.DE_open_L1,State_FORD_close_L1,State_FORD_high_L1,State_FORD_low_L1,State_FORD_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1,State_012330.KS_close_L1,State_012330.KS_high_L1,State_012330.KS_low_L1,State_012330.KS_open_L1,Wealth,Return,Price_Cash,Price_BMW.DE,Price_MBG.DE,Price_FORD,Price_GM,Price_012330.KS
0.16672868,0.16654287,0.16683912,0.16680144,0.16637887,0.16670913,1.0,1.0,1.0,1.0,0.91485352,0.91538126,0.90218879,0.91538126,0.93332321,0.93666528,0.92206558,0.93666528,0.9547828,0.95636589,0.93279535,0.95636589,0.97096559,0.99101813,0.96850301,0.99101813,0.97747373,0.98116761,0.96234636,0.98116761,10036.18707027683,0.0027665767245164,1.000,1.017,1.000,1.000,1.000,1.000
0.16673605,0.16653329,0.16685279,0.16681474,0.16635983,0.16670327,1.0,1.0,1.0,1.0,0.93332321,0.93666528,0.92206558,0.93666528,0.9547828,0.95636589,0.93279535,0.95636589,0.97096559,0.99101813,0.96850301,0.99101813,0.97747373,0.98116761,0.96234636,0.98116761,0.99576741,0.99611921,0.96656808,0.99611921,9963.281321621977,-0.0072908009525811,1.000,0.956,1.000,1.000,1.000,1.000
0.16674072,0.1665235,0.16686572,0.16682594,0.16634375,0.16670036,1.0,1.0,1.0,1.0,0.9547828,0.95636589,0.93279535,0.95636589,0.97096559,0.99101813,0.96850301,0.99101813,0.97747373,0.98116761,0.96234636,0.98116761,0.99576741,0.99611921,0.96656808,0.99611921,1.01230224,1.02092135,0.99946158,1.02092135,9991.907254988544,0.0028690235516819,1.000,1.017,1.000,1.000,1.000,1.000
0.16674045,0.16651836,0.16687645,0.16683853,0.16632792,0.16669835,1.0,1.0,1.0,1.0,0.97096559,0.99101813,0.96850301,0.99101813,0.97747373,0.98116761,0.96234636,0.98116761,0.99576741,0.99611921,0.96656808,0.99611921,1.01230224,1.02092135,0.99946158,1.02092135,0.96815128,0.9922495,0.96762353,0.9922495,9992.422533176525,5.156822305844865e-05,1.000,1.000,1.000,1.000,1.000,1.000
0.16673936,0.16651091,0.16688818,0.16684787,0.16631664,0.16669708,1.0,1.0,1.0,1.0,0.97747373,0.98116761,0.96234636,0.98116761,0.99576741,0.99611921,0.96656808,0.99611921,1.01230224,1.02092135,0.99946158,1.02092135,0.96815128,0.9922495,0.96762353,0.9922495,0.98503765,1.00034089,0.97360415,1.00034089,9985.909100212912,-0.0006520497621034,1.000,0.996,1.000,1.000,1.000,1.000
0.16673644,0.16650443,0.16690513,0.16684924,0.16630754,0.16669719,1.0,1.0,1.0,1.0,0.99576741,0.99611921,0.96656808,0.99611921,1.01230224,1.02092135,0.99946158,1.02092135,0.96815128,0.9922495,0.96762353,0.9922495,0.98503765,1.00034089,0.97360415,1.00034089,0.98538933,0.9871483,0.95900439,0.9871483,10009.265622263374,0.0023362169121087,1.000,1.014,1.000,1.000,1.000,1.000
0.16673245,0.16650532,0.16691679,0.16684833,0.16630359,0.16669355,1.0,1.0,1.0,1.0,1.01230224,1.02092135,0.99946158,1.02092135,0.96815128,0.9922495,0.96762353,0.9922495,0.98503765,1.00034089,0.97360415,1.00034089,0.98538933,0.9871483,0.95900439,0.9871483,0.98151969,1.00262765,0.97694633,1.00262765,10008.34310087635,-9.217098809720031e-05,1.000,0.999,1.000,1.000,1.000,1.000
0.16673,0.16650802,0.16692403,0.16685297,0.16629729,0.16668776,1.0,1.0,1.0,1.0,0.96815128,0.9922495,0.96762353,0.9922495,0.98503765,1.00034089,0.97360415,1.00034089,0.98538933,0.9871483,0.95900439,0.9871483,0.98151969,1.00262765,0.97694633,1.00262765,0.99559146,0.99946127,0.9831026,0.99946127,9983.8428080222,-0.0024509881241531,1.000,0.985,1.000,1.000,1.000,1.000
0.16672896,0.16650893,0.16693284,0.16685309,0.16629343,0.16668281,1.0,1.0,1.0,1.0,0.98503765,1.00034089,0.97360415,1.00034089,0.98538933,0.9871483,0.95900439,0.9871483,0.98151969,1.00262765,0.97694633,1.00262765,0.99559146,0.99946127,0.9831026,0.99946127,0.99506002,1.00197138,0.98868028,1.00197138,10004.158560930464,0.002032795528586,1.000,1.012,1.000,1.000,1.000,1.000
0.16673404,0.16650328,0.16694467,0.16685934,0.16628341,0.16667524,1.0,1.0,1.0,1.0,0.98538933,0.9871483,0.95900439,0.9871483,0.98151969,1.00262765,0.97694633,1.00262765,0.99559146,0.99946127,0.9831026,0.99946127,0.99506002,1.00197138,0.98868028,1.00197138,0.98017382,1.00126233,0.97946495,1.00126233,10026.392963267008,0.0022200498515243,1.000,1.014,1.000,1.000,1.000,1.000
0.16673957,0.16648906,0.16695568,0.16686617,0.16628139,0.16666813,1.0,1.0,1.0,1.0,0.98151969,1.00262765,0.97694633,1.00262765,0.99559146,0.99946127,0.9831026,0.99946127,0.99506002,1.00197138,0.98868028,1.00197138,0.98017382,1.00126233,0.97946495,1.00126233,0.9924016,0.9924016,0.980351,0.9924016,10021.104497028136,-0.0005275936681891,1.000,0.997,1.000,1.000,1.000,1.000
0.16673988,0.16647807,0.16696708,0.16687322,0.1662812,0.16666053,1.0,1.0,1.0,1.0,0.99559146,0.99946127,0.9831026,0.99946127,0.99506002,1.00197138,0.98868028,1.00197138,0.98017382,1.00126233,0.97946495,1.00126233,0.9924016,0.9924016,0.980351,0.9924016,1.00586995,1.01295856,1.00179403,1.01295856,10034.518219502366,0.001337652254825,1.000,1.008,1.000,1.000,1.000,1.000
0.16674247,0.1664671,0.16697703,0.1668738,0.16628014,0.16665946,1.0,1.0,1.0,1.0,0.99506002,1.00197138,0.98868028,1.00197138,0.98017382,1.00126233,0.97946495,1.00126233,0.9924016,0.9924016,0.980351,0.9924016,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,10013.806005308055,-0.0020662297088725,1.000,0.988,1.000,1.000,1.000,1.000
0.16674724,0.1664545,0.16698743,0.16687241,0.16628124,0.16665715,1.0,1.0,1.0,1.0,0.98017382,1.00126233,0.97946495,1.00126233,0.9924016,0.9924016,0.980351,0.9924016,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,10015.535852339772,0.0001727312907544,1.000,1.001,1.000,1.000,1.000,1.000
0.16675565,0.16644561,0.16700333,0.1668634,0.16627912,0.16665295,1.0,1.0,1.0,1.0,0.9924016,0.9924016,0.980351,0.9924016,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,10026.71351074102,0.0011154096885671,1.000,1.007,1.000,1.000,1.000,1.000
0.16676003,0.16643927,0.16701594,0.16686349,0.16627225,0.1666491,1.0,1.0,1.0,1.0,1.00586995,1.01295856,1.00179403,1.01295856,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,10028.109878405392,0.0001392550449865,1.000,1.001,1.000,1.000,1.000,1.000
0.16676398,0.16642755,0.16703188,0.16686387,0.16626868,0.16664404,1.0,1.0,1.0,1.0,1.0026801,1.01118639,0.99523705,1.01118639,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,10081.48133615858,0.0053080724016931,1.000,1.032,1.000,1.000,1.000,1.000
0.1667662,0.16641293,0.16705225,0.16686015,0.16626965,0.16663885,1.0,1.0,1.0,1.0,1.01083212,1.01171818,0.99151572,1.01171818,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,10175.698884582387,0.0093022056170957,1.000,1.056,1.000,1.000,1.000,1.000
0.16677041,0.16639996,0.1670628,0.16685487,0.16627268,0.1666393,1.0,1.0,1.0,1.0,0.99824973,1.01473063,0.99612311,1.01473063,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,10143.012918345274,-0.0032173294005123,1.000,0.981,1.000,1.000,1.000,1.000
0.16677131,0.16638309,0.16708016,0.1668552,0.16627376,0.1666364,1.0,1.0,1.0,1.0,0.99931312,0.99966755,0.98637646,0.99966755,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,10196.198390295584,0.0052298579692205,1.000,1.031,1.000,1.000,1.000,1.000
0.16677777,0.16636401,0.16710609,0.16685906,0.16627073,0.16662236,1.0,1.0,1.0,1.0,1.00604708,1.00994582,0.9957686,1.00994582,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,10256.56183035269,0.0059027353445177,1.000,1.035,1.000,1.000,1.000,1.000
0.1667941,0.1663387,0.16713731,0.16686316,0.1662647,0.16660205,1.0,1.0,1.0,1.0,1.00693319,1.01845217,1.00586988,1.01845217,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,10231.471488702176,-0.0024492691711985,1.000,0.986,1.000,1.000,1.000,1.000
0.1668093,0.1663052,0.16717136,0.16686265,0.16626519,0.16658624,1.0,1.0,1.0,1.0,1.03883192,1.04680659,1.02695858,1.04680659,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,10264.567482362694,0.0032295042444385,1.000,1.019,1.000,1.000,1.000,1.000
0.16681969,0.16627547,0.16719545,0.1668635,0.16627562,0.16657029,1.0,1.0,1.0,1.0,1.09660391,1.10103427,1.07321159,1.10103427,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,10315.071619824072,0.0049081753667689,1.000,1.029,1.000,1.000,1.000,1.000
0.1668348,0.16624248,0.16723713,0.16686887,0.1662749,0.16654181,1.0,1.0,1.0,1.0,1.07586994,1.08986991,1.07533832,1.08986991,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,10291.473376305,-0.0022903649145861,1.000,0.987,1.000,1.000,1.000,1.000
0.16684759,0.16621844,0.16727577,0.16686304,0.16627103,0.16652417,1.0,1.0,1.0,1.0,1.10918607,1.11184432,1.08986968,1.11184432,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,10305.396238911895,0.001351939880925,1.000,1.008,1.000,1.000,1.000,1.000
0.16686188,0.16619632,0.16731372,0.1668628,0.16626975,0.16649559,1.0,1.0,1.0,1.0,1.1479961,1.15136322,1.11450256,1.15136322,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,10300.39584548761,-0.0004853386370162,1.000,0.997,1.000,1.000,1.000,1.000
0.16688731,0.16616322,0.16735072,0.166867,0.1662746,0.16645713,1.0,1.0,1.0,1.0,1.13151523,1.14409745,1.11981907,1.14409745,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,10313.160432192162,0.0012384654218929,1.000,1.007,1.000,1.000,1.000,1.000
0.16690896,0.16614717,0.16737309,0.1668592,0.1662858,0.1664258,1.0,1.0,1.0,1.0,1.15313517,1.18875534,1.1515403,1.18875534,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,10336.89093770665,0.0022983493392433,1.000,1.014,1.000,1.000,1.000,1.000
0.16692443,0.16614449,0.16738175,0.1668581,0.16629341,0.16639777,1.0,1.0,1.0,1.0,1.18662872,1.18786922,1.15774279,1.18786922,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,10355.132194693788,0.0017631201739728,1.000,1.011,1.000,1.000,1.000,1.000
0.16695063,0.16614501,0.1673641,0.16686153,0.16630025,0.16637838,1.0,1.0,1.0,1.0,1.17067972,1.19105943,1.15473051,1.19105943,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,10325.951122678483,-0.002822008009284,1.000,0.983,1.000,1.000,1.000,1.000
0.16698442,0.16613872,0.1673519,0.16686723,0.16629846,0.16635916,1.0,1.0,1.0,1.0,1.18007188,1.18078076,1.13984423,1.18078076,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,10491.599152326004,0.0159146031735331,1.000,1.097,1.000,1.000,1.000,1.000
0.16702183,0.16611642,0.16735758,0.16687024,0.16630353,0.1663304,1.0,1.0,1.0,1.0,1.1767049,1.20505921,1.17617328,1.20505921,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,10710.347321534497,0.0206354573850277,1.000,1.127,1.000,1.000,1.000,1.000
0.16707851,0.16608582,0.16736436,0.16687131,0.1663089,0.16629118,1.0,1.0,1.0,1.0,1.18538858,1.18698358,1.16607225,1.18698358,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,10575.45274929871,-0.0126747763939011,1.000,0.924,1.000,1.000,1.000,1.000
0.16714111,0.16607438,0.16734153,0.1668724,0.16631615,0.16625443,1.0,1.0,1.0,1.0,1.20169219,1.22721113,1.19992007,1.22721113,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,10704.700600968015,0.0121474163134772,1.000,1.075,1.000,1.000,1.000,1.000
0.16723983,0.16603771,0.1673175,0.16687518,0.1663293,0.16620047,1.0,1.0,1.0,1.0,1.21445148,1.22100846,1.20559075,1.22100846,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,10646.864541788873,-0.0054175139149871,1.000,0.967,1.000,1.000,1.000,1.000
0.16735314,0.16597702,0.16735551,0.16687432,0.16629265,0.16614732,1.0,1.0,1.0,1.0,1.19389485,1.21392005,1.18290749,1.21392005,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,10624.413106478616,-0.0021109633392766,1.000,0.987,1.000,1.000,1.000,1.000
0.16745035,0.16593762,0.16736975,0.16687231,0.16625057,0.16611937,1.0,1.0,1.0,1.0,1.30961565,1.36260276,1.26442588,1.36260276,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,10625.550970603854,0.0001070932752825,1.000,1.001,1.000,1.000,1.000,1.000
0.16751729,0.16592447,0.16736078,0.16684464,0.16624807,0.1661047,1.0,1.0,1.0,1.0,1.47531153,1.47796977,1.42533702,1.47796977,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,10651.855940473635,0.0024725741610593,1.000,1.016,1.000,1.000,1.000,1.000
0.16759779,0.16591464,0.16733097,0.16684493,0.16623855,0.16607313,1.0,1.0,1.0,1.0,1.36313468,1.41027383,1.35551445,1.41027383,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,10681.922941407696,0.0028187243345782,1.000,1.018,1.000,1.000,1.000,1.000
0.16765153,0.16592073,0.16728242,0.16684622,0.16624418,0.16605493,1.0,1.0,1.0,1.0,1.46503266,1.47743776,1.36561529,1.47743776,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,10659.054038775384,-0.0021431925452281,1.000,0.986,1.000,1.000,1.000,1.000
0.16771314,0.16595232,0.16721365,0.1668467,0.1662314,0.16604279,1.0,1.0,1.0,1.0,1.41647609,1.44040003,1.39308377,1.44040003,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,10648.84068985122,-0.0009586446560217,1.000,0.994,1.000,1.000,1.000,1.000
0.16780499,0.16597511,0.16715805,0.16683982,0.16620472,0.16601732,1.0,1.0,1.0,1.0,1.39804586,1.41364069,1.37359029,1.41364069,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,10644.863871761378,-0.0003735205515388,1.000,0.998,1.000,1.000,1.000,1.000
0.1678792,0.16598512,0.16712962,0.16685422,0.16617084,0.16598102,1.0,1.0,1.0,1.0,1.39910902,1.40265339,1.3718181,1.40265339,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,10612.24290599904,-0.0030691845047916,1.000,0.976,1.000,1.000,1.000,1.000
0.16793066,0.16600463,0.16710515,0.1668707,0.16613889,0.16594994,1.0,1.0,1.0,1.0,1.42108357,1.42108357,1.39538738,1.42108357,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,10638.098914063225,0.002433468698298,1.000,1.019,1.000,1.000,1.000,1.000
0.16798179,0.16603167,0.16705273,0.16687915,0.16612993,0.16592473,1.0,1.0,1.0,1.0,1.44660229,1.48860219,1.42781759,1.48860219,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,10620.10256004557,-0.0016931214372665,1.000,0.986,1.000,1.000,1.000,1.000
0.16803208,0.16604586,0.16700739,0.16686682,0.16614468,0.1659031,1.0,1.0,1.0,1.0,1.42693185,1.45493179,1.42161549,1.45493179,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,10614.663902926248,-0.0005122408337032,1.000,1.001,1.000,1.000,1.000,1.000
0.1680459,0.16607948,0.16697082,0.16683766,0.1661775,0.16588867,1.0,1.0,1.0,1.0,1.41824832,1.43171666,1.4072611,1.43171666,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,10591.802178503627,-0.0021561096687664,1.000,1.023,1.000,1.000,1.000,1.000
0.16810669,0.1660815,0.16692765,0.16681631,0.16621827,0.1658496,1.0,1.0,1.0,1.0,1.41541292,1.43277987,1.40389395,1.43277987,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,10446.634144669148,-0.0138004874104363,1.000,0.990,1.000,1.000,1.000,1.000
0.16817965,0.16606648,0.16688569,0.16680464,0.16626306,0.16580054,1.0,1.0,1.0,1.0,1.38121052,1.40353946,1.38121052,1.40353946,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,10327.734529735646,-0.0114468858323202,1.000,0.989,1.000,1.000,1.000,1.000
0.16824834,0.16608067,0.1668199,0.16677222,0.16631567,0.1657631,1.0,1.0,1.0,1.0,1.40690644,1.40974193,1.37748889,1.40974193,1.38759009,1.40176718,1.37926099,1.40176718,1.38953967,1.40407126,1.38315993,1.40407126,1.42108357,1.43348853,1.41169122,1.43348853,1.40726097,1.43224816,1.40442547,1.43224816,10099.986774398483,-0.0222988348958373,1.000,0.978,1.000,1.000,1.000,1.000
