Action_Cash,Action_TSM,Action_MRVL,Action_NVDA,Action_RTX,Action_GM,State_Cash_close_L1,State_Cash_high_L1,State_Cash_low_L1,State_Cash_open_L1,State_TSM_close_L1,State_TSM_high_L1,State_TSM_low_L1,State_TSM_open_L1,State_MRVL_close_L1,State_MRVL_high_L1,State_MRVL_low_L1,State_MRVL_open_L1,State_NVDA_close_L1,State_NVDA_high_L1,State_NVDA_low_L1,State_NVDA_open_L1,State_RTX_close_L1,State_RTX_high_L1,State_RTX_low_L1,State_RTX_open_L1,State_GM_close_L1,State_GM_high_L1,State_GM_low_L1,State_GM_open_L1
0.16630617,0.16687971,0.16726851,0.16689925,0.1668302,0.16581611,1.0,1.0,1.0,1.0,1.02561449,1.0402512,1.02404627,1.0402512,1.04652412,1.04826656,1.03589508,1.04826656,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686
0.16630627,0.16687992,0.16726886,0.1668989,0.16683087,0.16581523,1.0,1.0,1.0,1.0,1.04652412,1.04826656,1.03589508,1.04826656,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774
0.16630675,0.16687962,0.16726819,0.16689883,0.16683072,0.16581593,1.0,1.0,1.0,1.0,1.05105443,1.05663031,1.04408455,1.05663031,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385
0.16630691,0.1668796,0.16726737,0.16689888,0.16683033,0.1658169,1.0,1.0,1.0,1.0,1.01742491,1.04025121,1.01515969,1.04025121,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839
0.16630675,0.16687964,0.16726747,0.16689894,0.16683029,0.16581696,1.0,1.0,1.0,1.0,1.02369772,1.04007686,1.01585662,1.04007686,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878
0.16630693,0.16687937,0.16726775,0.16689864,0.16683051,0.16581678,1.0,1.0,1.0,1.0,1.02073558,1.02369774,1.01080347,1.02369774,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875
0.16630712,0.16687906,0.16726723,0.16689874,0.16683026,0.1658176,1.0,1.0,1.0,1.0,1.01481115,1.02805385,1.00139417,1.02805385,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574
0.1663065,0.16687903,0.16726762,0.16689922,0.16682997,0.16581759,1.0,1.0,1.0,1.0,1.01672785,1.02700839,1.01620513,1.02700839,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549
0.16630605,0.1668794,0.16726913,0.16689886,0.1668307,0.16581586,1.0,1.0,1.0,1.0,1.00156824,1.01184878,0.98658304,1.01184878,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653
0.16630588,0.16687882,0.16726966,0.1668994,0.16683066,0.16581552,1.0,1.0,1.0,1.0,1.00592465,1.01306875,1.00121999,1.01306875,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707
0.16630594,0.16687879,0.16726954,0.16689925,0.16683075,0.16581576,1.0,1.0,1.0,1.0,0.96288569,0.97560574,0.95940081,0.97560574,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914
0.1663056,0.16687925,0.16727018,0.16689906,0.16683106,0.1658148,1.0,1.0,1.0,1.0,0.99477278,0.99529549,0.96671909,0.99529549,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098
0.16630512,0.16687943,0.16727109,0.16689941,0.16683121,0.16581374,1.0,1.0,1.0,1.0,0.99651514,1.0022653,0.99059076,1.0022653,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624
0.1663052,0.16687946,0.16727118,0.16689928,0.16683131,0.16581358,1.0,1.0,1.0,1.0,0.97229513,0.97647707,0.95940093,0.97647707,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283
0.16630627,0.16687925,0.16726997,0.16689844,0.16683134,0.16581467,1.0,1.0,1.0,1.0,0.93988517,0.96671914,0.93396079,0.96671914,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806
0.16630705,0.16687886,0.16726775,0.16689862,0.1668304,0.1658173,1.0,1.0,1.0,1.0,0.95434765,0.9573098,0.9433701,0.9573098,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644
0.16630645,0.16687939,0.16726774,0.1668989,0.1668301,0.16581744,1.0,1.0,1.0,1.0,1.0022653,1.00435624,0.99146204,1.00435624,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564
0.16630559,0.16687989,0.16726974,0.16689895,0.16683078,0.1658151,1.0,1.0,1.0,1.0,1.0092351,1.01324283,0.99616662,1.01324283,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135
0.16630533,0.16687983,0.16727091,0.16689913,0.16683125,0.16581357,1.0,1.0,1.0,1.0,1.01097768,1.01550806,0.99808342,1.01550806,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231
0.16630594,0.16687956,0.16726992,0.166899,0.16683108,0.16581446,1.0,1.0,1.0,1.0,0.97926486,0.995644,0.97682542,0.995644,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511
0.16630676,0.16687945,0.16726829,0.16689861,0.1668307,0.16581613,1.0,1.0,1.0,1.0,0.99355292,0.99407564,0.98170416,0.99407564,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604
0.16630712,0.16687945,0.16726719,0.16689861,0.16683027,0.16581741,1.0,1.0,1.0,1.0,1.02212941,1.02631135,1.00731849,1.02631135,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778
0.1663065,0.16687962,0.16726771,0.16689903,0.16683018,0.16581699,1.0,1.0,1.0,1.0,1.03903138,1.04112231,1.0263114,1.04112231,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379
0.1663059,0.16687998,0.1672692,0.16689894,0.16683078,0.16581523,1.0,1.0,1.0,1.0,1.03380401,1.0402511,1.02352346,1.0402511,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145
0.16630638,0.16687942,0.16726913,0.1668989,0.16683081,0.16581541,1.0,1.0,1.0,1.0,1.0139399,1.03101604,1.00836402,1.03101604,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585
0.16630746,0.16687876,0.1672672,0.16689861,0.16683039,0.16581763,1.0,1.0,1.0,1.0,0.9789164,0.98553778,0.96933286,0.98553778,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355
0.16630785,0.16687843,0.16726592,0.1668985,0.16682984,0.16581945,1.0,1.0,1.0,1.0,1.00435641,1.00958379,0.99320465,1.00958379,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496
0.16630675,0.16687874,0.16726704,0.16689894,0.1668298,0.16581868,1.0,1.0,1.0,1.0,0.98414362,0.99390145,0.97246915,0.99390145,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948
0.16630636,0.166878,0.1672688,0.16689901,0.1668303,0.16581745,1.0,1.0,1.0,1.0,0.96863571,0.98710585,0.96741599,0.98710585,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549
0.16630605,0.16687773,0.16726933,0.1668991,0.16683033,0.16581745,1.0,1.0,1.0,1.0,0.94302151,0.95295355,0.92664237,0.95295355,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175
0.16630498,0.1668781,0.16727097,0.16689941,0.1668305,0.16581604,1.0,1.0,1.0,1.0,0.93849127,0.96654496,0.93796855,0.96654496,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411
0.16630498,0.16687807,0.16727352,0.16689867,0.16683194,0.16581273,1.0,1.0,1.0,1.0,0.9588781,0.96549948,0.94755212,0.96549948,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717
0.166304,0.16687804,0.16727336,0.16690014,0.16683124,0.16581324,1.0,1.0,1.0,1.0,0.92855925,0.95138549,0.92821075,0.95138549,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295
0.16630541,0.1668773,0.16727252,0.166899,0.1668314,0.16581434,1.0,1.0,1.0,1.0,0.93814259,0.94180175,0.88865661,0.94180175,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553
0.1663064,0.16687699,0.1672706,0.16689858,0.16683099,0.16581647,1.0,1.0,1.0,1.0,0.97543139,0.97595411,0.93796845,0.97595411,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937
0.16630764,0.16687551,0.16726811,0.16689883,0.16682999,0.16581991,1.0,1.0,1.0,1.0,0.95626449,0.98222717,0.94162779,0.98222717,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997
0.16630568,0.1668759,0.16727017,0.16690004,0.16682965,0.16581857,1.0,1.0,1.0,1.0,0.99459873,0.99477295,0.96793898,0.99477295,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398
0.16630433,0.16687632,0.16727634,0.16689922,0.16683187,0.16581191,1.0,1.0,1.0,1.0,0.97107527,0.98257553,0.96271145,0.98257553,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383
0.16630533,0.16687348,0.16727622,0.16689989,0.166832,0.16581301,1.0,1.0,1.0,1.0,0.95957509,0.95974937,0.94040801,0.95974937,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249
0.16630433,0.16687427,0.16727646,0.16689974,0.16683121,0.16581397,1.0,1.0,1.0,1.0,0.9031191,0.94336997,0.88970212,0.94336997,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671
0.1663054,0.16687292,0.16727833,0.16689864,0.1668328,0.16581193,1.0,1.0,1.0,1.0,0.94981726,0.95173398,0.91461954,0.95173398,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131
0.16630499,0.16687113,0.16727771,0.16690001,0.16683193,0.16581416,1.0,1.0,1.0,1.0,0.91026331,0.93326383,0.90764959,0.93326383,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079
0.16630574,0.16687053,0.16727878,0.16689819,0.16683258,0.16581413,1.0,1.0,1.0,1.0,0.84840576,0.88848249,0.84526932,0.88848249,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181
0.16630384,0.16686946,0.16728188,0.16689937,0.16683294,0.16581252,1.0,1.0,1.0,1.0,0.91008905,0.91409671,0.85886062,0.91409671,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181,0.77202313,0.79471419,0.75109111,0.79471419
0.16630217,0.16687,0.16728745,0.1668983,0.16683498,0.16580713,1.0,1.0,1.0,1.0,0.78236635,0.84248131,0.78236635,0.84248131,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181,0.77202313,0.79471419,0.75109111,0.79471419,0.78328073,0.84924307,0.78240125,0.84924307
0.16630156,0.16686915,0.16729039,0.1668989,0.16683565,0.16580431,1.0,1.0,1.0,1.0,0.84579229,0.84614079,0.78463175,0.84614079,0.7731314,0.80310181,0.75379003,0.80310181,0.77202313,0.79471419,0.75109111,0.79471419,0.78328073,0.84924307,0.78240125,0.84924307,0.7961213,0.80227782,0.76551481,0.80227782
0.1663003,0.16687034,0.16729209,0.16689898,0.16683562,0.16580269,1.0,1.0,1.0,1.0,0.7731314,0.80310181,0.75379003,0.80310181,0.77202313,0.79471419,0.75109111,0.79471419,0.78328073,0.84924307,0.78240125,0.84924307,0.7961213,0.80227782,0.76551481,0.80227782,0.85962112,0.8605006,0.83552289,0.8605006
0.16630065,0.16687086,0.16729409,0.1668981,0.16683725,0.16579905,1.0,1.0,1.0,1.0,0.77202313,0.79471419,0.75109111,0.79471419,0.78328073,0.84924307,0.78240125,0.84924307,0.7961213,0.80227782,0.76551481,0.80227782,0.85962112,0.8605006,0.83552289,0.8605006,0.8619078,0.88037724,0.84519733,0.88037724
0.16630118,0.16687055,0.16729105,0.1668996,0.16683592,0.16580167,1.0,1.0,1.0,1.0,0.78328073,0.84924307,0.78240125,0.84924307,0.7961213,0.80227782,0.76551481,0.80227782,0.85962112,0.8605006,0.83552289,0.8605006,0.8619078,0.88037724,0.84519733,0.88037724,0.87721099,0.88758907,0.86050052,0.88758907
0.16630302,0.16687077,0.16728687,0.16689867,0.16683492,0.16580579,1.0,1.0,1.0,1.0,0.7961213,0.80227782,0.76551481,0.80227782,0.85962112,0.8605006,0.83552289,0.8605006,0.8619078,0.88037724,0.84519733,0.88037724,0.87721099,0.88758907,0.86050052,0.88758907,0.82514494,0.8459011,0.81810893,0.8459011
0.16630344,0.1668713,0.16728432,0.16689874,0.16683413,0.16580808,1.0,1.0,1.0,1.0,0.85962112,0.8605006,0.83552289,0.8605006,0.8619078,0.88037724,0.84519733,0.88037724,0.87721099,0.88758907,0.86050052,0.88758907,0.82514494,0.8459011,0.81810893,0.8459011,0.84115179,0.84713238,0.82268234,0.84713238
0.1663029,0.16687167,0.16728446,0.16689919,0.16683394,0.16580777,1.0,1.0,1.0,1.0,0.8619078,0.88037724,0.84519733,0.88037724,0.87721099,0.88758907,0.86050052,0.88758907,0.82514494,0.8459011,0.81810893,0.8459011,0.84115179,0.84713238,0.82268234,0.84713238,0.84062401,0.86243552,0.8383373,0.86243552
0.16630378,0.16687016,0.16728377,0.16689935,0.16683392,0.165809,1.0,1.0,1.0,1.0,0.87721099,0.88758907,0.86050052,0.88758907,0.82514494,0.8459011,0.81810893,0.8459011,0.84115179,0.84713238,0.82268234,0.84713238,0.84062401,0.86243552,0.8383373,0.86243552,0.81810873,0.83657824,0.81441486,0.83657824
0.16630451,0.16686955,0.16728272,0.16689873,0.16683374,0.16581075,1.0,1.0,1.0,1.0,0.82514494,0.8459011,0.81810893,0.8459011,0.84115179,0.84713238,0.82268234,0.84713238,0.84062401,0.86243552,0.8383373,0.86243552,0.81810873,0.83657824,0.81441486,0.83657824,0.84660453,0.84818763,0.81986779,0.84818763
0.16630365,0.16686983,0.16728435,0.16689865,0.16683415,0.1658094,1.0,1.0,1.0,1.0,0.84115179,0.84713238,0.82268234,0.84713238,0.84062401,0.86243552,0.8383373,0.86243552,0.81810873,0.83657824,0.81441486,0.83657824,0.84660453,0.84818763,0.81986779,0.84818763,0.82778345,0.84695651,0.82285822,0.84695651
0.16630183,0.1668697,0.16728812,0.16689938,0.16683489,0.16580611,1.0,1.0,1.0,1.0,0.84062401,0.86243552,0.8383373,0.86243552,0.81810873,0.83657824,0.81441486,0.83657824,0.84660453,0.84818763,0.81986779,0.84818763,0.82778345,0.84695651,0.82285822,0.84695651,0.87897026,0.88125691,0.85328887,0.88125691
0.16630067,0.16687068,0.16729221,0.16689892,0.16683643,0.16580111,1.0,1.0,1.0,1.0,0.81810873,0.83657824,0.81441486,0.83657824,0.84660453,0.84818763,0.81986779,0.84818763,0.82778345,0.84695651,0.82285822,0.84695651,0.87897026,0.88125691,0.85328887,0.88125691,0.87457263,0.90271653,0.87351721,0.90271653
0.16630015,0.16687126,0.1672931,0.16689947,0.1668365,0.16579954,1.0,1.0,1.0,1.0,0.84660453,0.84818763,0.81986779,0.84818763,0.82778345,0.84695651,0.82285822,0.84695651,0.87897026,0.88125691,0.85328887,0.88125691,0.87457263,0.90271653,0.87351721,0.90271653,0.8842472,0.89005185,0.87140654,0.89005185
0.166301,0.1668716,0.16729122,0.16689943,0.16683613,0.16580068,1.0,1.0,1.0,1.0,0.82778345,0.84695651,0.82285822,0.84695651,0.87897026,0.88125691,0.85328887,0.88125691,0.87457263,0.90271653,0.87351721,0.90271653,0.8842472,0.89005185,0.87140654,0.89005185,0.85012271,0.89110728,0.83939283,0.89110728
0.16630293,0.1668719,0.16728655,0.16689888,0.1668351,0.1658046,1.0,1.0,1.0,1.0,0.87897026,0.88125691,0.85328887,0.88125691,0.87457263,0.90271653,0.87351721,0.90271653,0.8842472,0.89005185,0.87140654,0.89005185,0.85012271,0.89110728,0.83939283,0.89110728,0.85751024,0.86349082,0.84361416,0.86349082
0.16630356,0.16687214,0.16728242,0.16689941,0.1668334,0.165809,1.0,1.0,1.0,1.0,0.87457263,0.90271653,0.87351721,0.90271653,0.8842472,0.89005185,0.87140654,0.89005185,0.85012271,0.89110728,0.83939283,0.89110728,0.85751024,0.86349082,0.84361416,0.86349082,0.89057933,0.90183689,0.87861815,0.90183689
0.16630436,0.16687211,0.167281,0.16689895,0.16683319,0.16581042,1.0,1.0,1.0,1.0,0.8842472,0.89005185,0.87140654,0.89005185,0.85012271,0.89110728,0.83939283,0.89110728,0.85751024,0.86349082,0.84361416,0.86349082,0.89057933,0.90183689,0.87861815,0.90183689,0.8735173,0.87897021,0.86261154,0.87897021
0.16630407,0.16687141,0.16728102,0.16689965,0.16683291,0.16581099,1.0,1.0,1.0,1.0,0.85012271,0.89110728,0.83939283,0.89110728,0.85751024,0.86349082,0.84361416,0.86349082,0.89057933,0.90183689,0.87861815,0.90183689,0.8735173,0.87897021,0.86261154,0.87897021,0.92171371,0.93473024,0.90904892,0.93473024
0.16630238,0.16687222,0.16728394,0.16689976,0.16683356,0.16580817,1.0,1.0,1.0,1.0,0.85751024,0.86349082,0.84361416,0.86349082,0.89057933,0.90183689,0.87861815,0.90183689,0.8735173,0.87897021,0.86261154,0.87897021,0.92171371,0.93473024,0.90904892,0.93473024,0.94440457,0.95319955,0.93226753,0.95319955
0.16629235,0.16691385,0.16730517,0.16687216,0.166813,0.16580342,1.0,1.0,1.0,1.0,0.89057933,0.90183689,0.87861815,0.90183689,0.8735173,0.87897021,0.86261154,0.87897021,0.92171371,0.93473024,0.90904892,0.93473024,0.94440457,0.95319955,0.93226753,0.95319955,0.92505579,0.94669143,0.92452811,0.94669143
0.16625574,0.16696583,0.16730833,0.16686925,0.16680376,0.16579708,1.0,1.0,1.0,1.0,0.8735173,0.87897021,0.86261154,0.87897021,0.92171371,0.93473024,0.90904892,0.93473024,0.94440457,0.95319955,0.93226753,0.95319955,0.92505579,0.94669143,0.92452811,0.94669143,0.90359591,0.91133553,0.88864448,0.91133553
0.16620727,0.16693904,0.16735858,0.16694012,0.1668048,0.16575015,1.0,1.0,1.0,1.0,0.92171371,0.93473024,0.90904892,0.93473024,0.94440457,0.95319955,0.93226753,0.95319955,0.92505579,0.94669143,0.92452811,0.94669143,0.90359591,0.91133553,0.88864448,0.91133553,0.93138813,0.93420252,0.92188954,0.93420252
